id,hint,image_url,correct_pref,choice1,choice2,choice3,choice4,choice5,description
1,非常に有名な日本のシンボルです。山頂の雪と周りの自然が特徴です。,unsplash.com,【静岡県】（および山梨県）にまたがる富士山でした！
2,歴史的な建造物（お寺）です。建物全体が金箔で覆われています。,unsplash.com,【京都府】にある鹿苑寺（金閣寺）でした！
3,青い海と広い砂漠のような景色、そして歩いている動物に注目してください。,unsplash.com,【鳥取県】にある鳥取砂丘でした！
4,日本最北端の大地です。広大な大自然と冬の雪景色が有名です。,unsplash.com,【北海道】の大自然でした！
5,透明度の高い透き通った海と、白い砂浜が広がる南国のリゾート地です。,unsplash.com,【沖縄県】のエメラルドグリーンの海でした！
6,世界遺産にも登録されている、海の中に立つ巨大な赤い鳥居が有名です。,unsplash.com,【広島県】の厳島神社でした！
7,夜になると、川沿いに並ぶ屋台の明かりが水面に映る、九州一の繁華街です。,unsplash.com,【福岡県】の中洲エリアでした！
8,大都会の中心にそびえ立つ、赤と白の美しい電波塔（タワー）です。,unsplash.com,【東京都】の東京タワーでした！
9,日本三大名城の一つ。美しくそびえ立つ天守閣と、春の桜が絶景です。,unsplash.com,【大阪府】にある大阪城でした！
10,歴史的な古い町並みが残り、秋には美しい紅葉が庭園を彩る古都です。,unsplash.com,【京都府】の清水寺周辺でした！
